station_no;station_id;station_name;parametertype_name;stationparameter_name;site_name;river_name;station_local_x;station_local_y
LUKSI1.3;22057;1.3 Dürrenbach;;;Escholzmatt-Marbach;;2632882.39;1196015.972
LUKSI1.4;22062;1.4 Luthern;;;Luthern;;2636438.52;1213177.024
LUKSI14.0;21954;14.0 ACHERIWALD;;;Kerns;;2665429.682;1196924.876
LUKSI14.1;21874;14.1 Zmatt;;;Alpnach;;2665471.713;1202207.884
LUKSI14.2;22108;14.2 Grosse Schliere;;;Alpnach;;2663809.677;1197892.886
LUKSI14.3;22125;14.3 Sarner Aa;;;Sarnen;;2663092.653;1196367.871
LUKSI14.4;21943;14.4 Sarnen Süd;;;Sarnen;;2661750.62;1193187.85
LUKSI14.6;21938;14.6 Giswil Nord;;;Sachseln;;2658020.557;1188234.82
LUKSI15.0;21988;15.0 LUNGERN;;;Lungern;;2655171.515;1183063.806
LUKSI15.1;22034;15.1 Buchholzbrücke;;;Giswil;;2656842.546;1186335.806
LUKSI15.2;21853;15.2 Brünig 998 müM.;;;Meiringen;;2653564.485;1178964.782
LUKSI15.3;21994;15.3 Brünigpass;;;Meiringen;;2653334.48;1178596.778
UR1208-SB407;97211;2 TG Gotthard;;;Göschenen;;2688328.435;1169586.62
UR1208-SB408;97212;2 TG Gotthard;;;Wassen;;2688286.445;1170695.63
LUKSI2.0;22106;2.0 SCHÜPFHEIM;;;Schüpfheim;;2643951.52;1197617.922
LUKSI2.1;22073;2.1 Schwarzenberg;;;Schwarzenberg;;2655588.691;1208154.948
LUKSI2.2;22021;2.2 Sörenberg;;;Flühli;;2644744.503;1186212.912
LUKSI2.3;21921;2.3 Finsterwald;;;Entlebuch;;2651031.634;1201867.963
LUKSI2.4;21894;2.4 Schwarzenberg;;;Schwarzenberg;;2655584.691;1207865.946
LUKSI2.5;22020;2.5 Hirsegg;;;Flühli;;2643925.465;1189448.938
LUKSI2.6;21867;2.6 Hirseggstutz;;;Flühli;;2643862.464;1188984.934
LUKSI3.0;21883;3.0 Gettnau;;;Gettnau;;2639385.582;1220759.088
LUKSI3.1;22102;3.1 ROGGLISWIL;;;Roggliswil;;2633371.558;1230163.193
LUKSI3.2;21908;3.2 Ufhusen;;;Ufhusen;;2633466.503;1219517.129
LUKSI3.3;21886;3.3 Hergiswil;;;Hergiswil bei Willisau;;2639705.589;1215648.032
LUKSI3.4;22137;3.4 Schwanderholz;;;Werthenstein;;2648352.646;1208990.974
LUKSI3.5;21899;3.5 Fontannen / Romoos;;;Romoos;;2644971.579;1207135.99
LUKSI3.6;21936;3.6 Menznau;;;Menznau;;2644668.588;1215509.029
LUKSI3.7;21927;3.7 Menzberg;;;Menznau;;2642467.557;1211225.989
LUKSI3.8;21977;3.8 Menzberg;;;Menznau;;2642552.558;1211285.989
LUKSI4.0;21881;4.0 BUTTISHOLZ;;;Buttisholz;;2650676.661;1219220.039
LUKSI4.1;21891;4.1 Wikon;;;Wikon;;2648361.67;1226829.099
LUKSI4.10;21967;4.10 Knutwilerhöhe;;;Knutwil;;2639947.566;1234508.156
LUKSI4.11;22036;4.11 Buchs;;;Dagmersellen;;2645583.627;1228510.091
LUKSI4.12;21987;4.12 Triechterbrücke;;;Schenkon;;2652327.706;1225019.094
LUKSI4.13;21892;4.13 Sempach Station;;;Sempach;;2657902.801;1218474.942
LUKSI4.15;22031;4.15 Truttigen;;;Neuenkirch;;2659325.818;1219680.94
LUKSI4.2;22084;4.2 Kottwil;;;Ettiswil;;2646554.66;1224186.08
LUKSI4.3;22040;4.3 Neuenkirch;;;Neuenkirch;;2656576.767;1218592.951
LUKSI4.4;21866;4.4 Ruswil;;;Ruswil;;2654518.708;1213594.909
LUKSI4.5;22015;4.5 Umf. Malters;;;Malters;;2651830.669;1210692.953
LUKSI4.6;21983;4.6 Triengen;;;Triengen;;2647682.686;1233259.084
LUKSI4.7;22094;4.7 Alberswil;;;Alberswil;;2642582.63;1223048.079
